question,topic_old,topic_new,pass_fail
ความหมายของโครงสร้างข้อมูลหน่อย,3.3.2,1.1.1,pass
บอกความหมายของอัลกอริทึม,3.3.3,1.1.2,pass
ความสำคัญของการเลือกโครงสร้างข้อมูลที่เหมาะสมกับอัลกอริทึม,2.4.2,1.1.3,pass
อะไรคือโครงสร้างข้อมูลแบบบิต,3.3.2,1.2.1,pass
โครงสร้างข้อมูลแบบไบต์คือ,3.3.3,1.2.2,pass
โครงสร้างข้อมูลแบบฟิลด์ คือ,2.4.2,1.2.3,pass
เรคอร์ดคือ,3.3.2,1.2.4,pass
บิต คือ,3.3.3,1.2.1,pass
ฟิลด์คืออะไร,2.4.2,1.2.3,pass
ไฟล์,3.3.2,1.2.5,pass
ฐานข้อมูลคือ,3.3.3,1.2.6,pass
ประเภทโครงสร้างข้อมูล,2.4.2,1.3.1,pass
ประเภทอัลกอริทึม,3.3.2,1.3.2,pass
เครื่องมือพัฒนาอัลกอริทึม,3.3.3,1.3.3,pass
โครงสร้างแบบเรียงลำดับคือ,2.4.2,1.4.1,pass
โครงสร้างแบบเลือกการทำงาน (Selection),3.3.2,1.4.2,pass
โครงสร้างแบบทำซ้ำคือ,3.3.3,1.4.3,pass
ความหมายและลักษณะของอาร์เรย์,2.4.2,2.1.1,pass
อาร์เรย์ 1 มิติคือ,3.3.2,2.2.1,pass
อาร์เรย์ 2 มิติคือ,3.3.3,2.1.2,pass
ความหมายของลิงค์ลิสต์,2.4.2,2.3.1,pass
โครงสร้างของลิงค์ลิสต์,3.3.2,2.3.2,pass
โครงสร้างลิงค์ลิสต์แบบทิศทางเดียว,3.3.3,2.4.1,pass
การทำงานของลิงค์ลิสต์แบบทิศทางเดียว,2.4.2,2.4.2,pass
การนำข้อมูลเข้าของคิวทำยังไง,3.3.2,3.2.1,pass
การนำข้อมูลออกของคิวทำยังไง,3.3.3,3.2.2,pass
โครงสร้างของการแทนคิวด้วยอาร์เร,2.4.2,3.3.1,pass
การดำเนินการแทนคิวด้วยอาร์เรย์,3.3.2,3.3.2,pass
การดำเนินการแทนคิวด้วยวงกลม,3.3.3,3.3.3,pass
โครงสร้างของสแตกเป็นอย่างไร,2.4.2,4.1,pass
การนำข้อมูลเข้าของสแตกทำอย่างไร,3.3.2,4.2.1,pass
การดึงข้อมูลออกของสแตกเป็นอย่างไร,3.3.3,4.2.2,pass
การดำเนินการแทนสแตกด้วยอาร์เรย์ทำอย่างไร,2.4.2,4.3.1,pass
การประยุกต์ใช้งานสแตกในการเปลงรูปนิพจน์ทางคณิตศาสตร์ทำอย่างไร,2.1.1,4.3.2,pass
โครงสร้างทรีเป็นอย่างไร,2.1.1,5.1,pass
ทรีทั่วไปคือ,1.1.2,5.2.1,pass
ไบนารีทรีคือ,1.1.3,5.2.2,pass
ไบนารีทรีแบบสมบูรณ์คืออย่างไร,1,5.2.3,pass
การเข้าถึงข้อมูลในไบนารีทรีแบบพรีออร์เดอร์คือ,1.3.1,5.3.1,pass
การเข้าถึงข้อมูลในไบนารีทรีแบบอินออร์เดอร์คือ,1.1.3,5.3.2,pass
การเข้าถึงข้อมูลในไบนารีทรีแบบโพสต์ออร์เดอร์คือ,2.1.1,5.3.3,pass
การแทนโครงสร้างไบนารีทรีแบบซีเควนเชียล,2.2.1,5.5,pass
การแปลงทรีเป็นไบนารีทรีทำอย่างไร,2.2.1,5.6,pass
